,_id,local,municipio,bairro,endereco,cep
57,67bf9e83f414a80755bb6b66,BANCO ITAÚ - NSC 581,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 581-A,",22031000
58,67bf9e83f414a80755bb6b67,HOTEL PESTANA - A 2964,RIO DE JANEIRO,COPACABANA,"AVENIDA ATLANTICA, N 2964",22070000
59,67bf9e83f414a80755bb6b68,BANCO SANTANDER - NSC 862,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 862",22060001
60,67bf9e83f414a80755bb6b69,INSS - NSC 1032,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 1032",22060002
61,67bf9e83f414a80755bb6b6a,BANCO ITAÚ - NSC 921,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 921,",22060002
62,67bf9e83f414a80755bb6b6b,CLUBE OLYMPICO - PL 116,RIO DE JANEIRO,COPACABANA,"RUA POMPEU LOUREIRO, 116,",22061000
63,67bf9e83f414a80755bb6b6c,HOTEL ATLANTICO - SCA 90,RIO DE JANEIRO,COPACABANA,"RUA SIQUEIRA CAMPOS, 90",22031900
64,67bf9e83f414a80755bb6b6d,CAIXA ECONOMICA FEDERAL - SCA 34,RIO DE JANEIRO,COPACABANA,"RUA SIQUEIRA CAMPOS, 34,",22031070
65,67bf9e83f414a80755bb6b6e,COLÉGIO ESTADUAL PEDRO ÁLVARES CABRAL - RP 104,RIO DE JANEIRO,COPACABANA,"RUA REPÚBLICA DO PERU, 104,",22021040
66,67bf9e83f414a80755bb6b6f,COLÉGIO PINHEIRO GUIMARÃES - HG 43,RIO DE JANEIRO,COPACABANA,"RUA HILÁRIO DE GOUVEIA, 43,",22040020
67,67bf9e83f414a80755bb6b70,ESCOLA MUNICIPAL DOUTOR CÍCERO PENNA - A 1976,RIO DE JANEIRO,COPACABANA,"AV. ATLÂNTICA, 1976,",22021001
68,67bf9e83f414a80755bb6b71,1/2 - IGREJA NOSSA SENHORA DE COPACABANA - HG 36,RIO DE JANEIRO,COPACABANA,"RUA HILARIO DE GOUVEIA, 36,",22040020
69,67bf9e83f414a80755bb6b72,2/2 - E M DOUTOR CÓCIO BARCELLOS - BI 34 - ANTIGO BB - NSC 890,RIO DE JANEIRO,COPACABANA,"RUA BARÃO DE IPANEMA, N 34",22050030
70,67bf9e83f414a80755bb6b73,BANCO ITAÚ - BR 573,RIO DE JANEIRO,COPACABANA,"RUA BARATA RIBEIRO, 573,",22051000
71,67bf9e83f414a80755bb6b74,2/2 - HOTEL OTHON PALACE - A 3264 - ANTIGO SANTANDER NSC 804,RIO DE JANEIRO,COPACABANA,"AVENIDA  ATLANTICA, 3264",22070001
72,67bf9e83f414a80755bb6b75,CRECHE PRIMEIRA CLASSE - CJ 82,RIO DE JANEIRO,COPACABANA,"RUA CINCO DE JULHO, 82,",22051030
73,67bf9e83f414a80755bb6b76,SESC - DF 160,RIO DE JANEIRO,COPACABANA,"RUA DOMINGOS FERREIRA, 160,",22050010
74,67bf9e83f414a80755bb6b77,2/2 - PENSI - COLEGIO E CURSO - BI 85 - ANTIGO BANCO BRASIL - NSC 890,RIO DE JANEIRO,COPACABANA,"RUA BARÃO DE IPANEMA, N 85",22060020
75,67bf9e83f414a80755bb6b78,CAIXA ECONÔMICA FEDERAL - NSC 861,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 861,",22060000
76,67bf9e83f414a80755bb6b79,1/2 - PENSI - COLEGIO E CURSO - BI 85,RIO DE JANEIRO,COPACABANA,"RUA BARÃO DE IPANEMA, N 85",22060020
77,67bf9e83f414a80755bb6b7a,COLEGIO MALLET SOARES - B 121,RIO DE JANEIRO,COPACABANA,"RUA BOLÍVAR, 121,",22061020
78,67bf9e83f414a80755bb6b7b,INSS - NSC 1049,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 1049-A,",22060000
79,67bf9e83f414a80755bb6b7c,SENAC - PL 45,RIO DE JANEIRO,COPACABANA,"RUA POMPEU LOUREIRO, 45,",22061000
80,67bf9e83f414a80755bb6b7d,1/2 ESCOLA MUNICIPAL SENADOR ALENCASTRO GUIMARÃES - PÇ CAV,RIO DE JANEIRO,COPACABANA,"PRAÇA CARDEAL ARCOVERDE, S/N,",22040030
81,67bf9e83f414a80755bb6b7e,2/2 - COLÉGIO SAGRADO CORAÇÃO DE MARIA - T 56 - ANTIGO ITAÚ - NSC 387,RIO DE JANEIRO,COPACABANA,"RUA TONELERO, N 56",22030002
82,67bf9e83f414a80755bb6b7f,BANCO ITAÚ - NSC 730,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 730,",22050000
83,67bf9e83f414a80755bb6b80,HOTEL WINDSOR CALIFORNIA  - A 2616,RIO DE JANEIRO,COPACABANA,"AVENIDA  ATLANTICA, 2616",22041001
84,67bf9e83f414a80755bb6b81,1/2 - CLUBE ISRAELITA BRASILEIRO (CIB) - BR 489,RIO DE JANEIRO,COPACABANA,"RUA BARATA RIBEIRO, 489,",22040001
85,67bf9e83f414a80755bb6b82,CULTURA INGLESA - NSC 619,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 619, SL,",22050000
86,67bf9e83f414a80755bb6b83,INSTITUTO BRASIL-ESTADOS UNIDOS (IBEU) - NSC 690,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 690,",22050000
87,67bf9e83f414a80755bb6b84,HOTEL MARRIOTT - A 2600,RIO DE JANEIRO,COPACABANA,"AVENIDA  ATLANTICA, 2600",22041000
88,67bf9e83f414a80755bb6b85,1/2 - HOTEL OTHON PALACE - A 3264 - ANTIGO BANRISUL NSC 827,RIO DE JANEIRO,COPACABANA,"AVENIDA  ATLANTICA, 3264",22070001
89,67bf9e83f414a80755bb6b86,BANCO ITAÚ - NSC 1120,RIO DE JANEIRO,COPACABANA,"AV. NOSSA SENHORA DE COPACABANA, 1120 A - PRAÇA",22070010
90,67bf9e83f414a80755bb6b87,BANCO SANTANDER S/A (PRÓX. HORTIFRUTI),RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 193,20520050
91,67bf9e83f414a80755bb6b88,COLÉGIO SANTA TERESA DE JESUS,RIO DE JANEIRO,TIJUCA,RUA SÃO FRANCISCO XAVIER 11,20550010
92,67bf9e83f414a80755bb6b89,ESCOLA MUNICIPAL GENERAL EUCLYDES DE FIGUEIREDO,RIO DE JANEIRO,TIJUCA,RUA ALZIRA BRANDÃO 500,20550035
93,67bf9e83f414a80755bb6b8a,INSTITUTO BRAGA CARNEIRO,RIO DE JANEIRO,TIJUCA,RUA DOS ARAÚJOS 31,20521000
94,67bf9e83f414a80755bb6b8b,BANCO DO BRASIL (R. BARÃO DE MESQUITA),RIO DE JANEIRO,TIJUCA,RUA BARÃO DE MESQUITA 248-A,20540003
95,67bf9e83f414a80755bb6b8c,BANCO BRADESCO S/A (ESQ. R. URUGUAI),RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 682-A,20520055
96,67bf9e83f414a80755bb6b8d,CAIXA ECONÔMICA FEDERAL (PRÓX. KALUNGA),RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 604,20520055
97,67bf9e83f414a80755bb6b8e,ESCOLA MUNICIPAL ALMIRANTE BARROSO,RIO DE JANEIRO,TIJUCA,RUA HOMEM DE MELO 292,20510180
98,67bf9e83f414a80755bb6b8f,ESCOLA MUNICIPAL BARÃO DE ITACURUSSÁ,RIO DE JANEIRO,TIJUCA,RUA ANDRADE NEVES 481,20510230
99,67bf9e83f414a80755bb6b90,BANCO DO BRASIL (PRAÇA),RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 369 A,20520051
100,67bf9e83f414a80755bb6b91,BANCO BRADESCO S/A (R. PINTO DE FIGUEIREDO),RIO DE JANEIRO,TIJUCA,RUA PINTO DE FIGUEIREDO 64,20511240
101,67bf9e83f414a80755bb6b92,CAIXA ECONÔMICA FEDERAL (PRÓX. GRANADO),RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 302 A,20520054
102,67bf9e83f414a80755bb6b93,COLÉGIO BATISTA SHEPARD,RIO DE JANEIRO,TIJUCA,RUA JOSÉ HIGINO 416,20520412
103,67bf9e83f414a80755bb6b94,ESCOLA MUNICIPAL LAUDÍMIA TROTTA,RIO DE JANEIRO,TIJUCA,RUA ANTÔNIO BASÍLIO 370,20511190
104,67bf9e83f414a80755bb6b95,ESCOLA MUNICIPAL PRUDENTE DE MORAES,RIO DE JANEIRO,TIJUCA,RUA ENES DE SOUSA 36,20521210
105,67bf9e83f414a80755bb6b96,ESCOLA PALAS (R. JOSÉ HIGINO),RIO DE JANEIRO,TIJUCA,RUA JOSÉ HIGINO 273,20520201
106,67bf9e83f414a80755bb6b97,IGREJA NOSSA SENHORA DO LÍBANO,RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 638,20520055
107,67bf9e83f414a80755bb6b98,TIJUCA TÊNIS CLUBE,RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 451,20520051
108,67bf9e83f414a80755bb6b99,CIEP SAMUEL WAINER,RIO DE JANEIRO,TIJUCA,AV. HEITOR BELTRÃO S/N,20550000
109,67bf9e83f414a80755bb6b9a,JARDIM ESCOLA MUNDO INFANTIL,RIO DE JANEIRO,TIJUCA,RUA MARIA AMÁLIA 188,20510130
110,67bf9e83f414a80755bb6b9b,IBEU - INSTITUTO BRASIL ESTADOS UNIDOS,RIO DE JANEIRO,TIJUCA,RUA MARIA AMÁLIA 116,20510130
111,67bf9e83f414a80755bb6b9c,BANCO ITAU S/A (PRAÇA),RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 390,20520054
112,67bf9e83f414a80755bb6b9d,8ª REGIÃO ADMINISTRATIVA,RIO DE JANEIRO,TIJUCA,RUA DESEMBARGADOR IZIDRO 41,20521160
113,67bf9e83f414a80755bb6b9e,BANCO SANTANDER S/A (PRÓX. TIJUCOR),RIO DE JANEIRO,TIJUCA,RUA CONDE DE BONFIM 149,20520050
114,67bf9e83f414a80755bb6b9f,COLÉGIO PALAS,RIO DE JANEIRO,TIJUCA,"RUA JOSÉ HIGINO, 247",20520201
115,67bf9e83f414a80755bb6ba0,COLÉGIO ELZA CAMPOS,RIO DE JANEIRO,TIJUCA,RUA ANTÔNIO BASÍLIO 135,20511190
116,67bf9e83f414a80755bb6ba1,BRASAS ENGLISH COURSE,RIO DE JANEIRO,TIJUCA,"RUA GUAPIARA, 82, TIJUCA",20521180
117,67bf9e83f414a80755bb6ba2,INSTITUTO TOCANDO EM VOCE,RIO DE JANEIRO,TIJUCA,"RUA GENERAL ROCA, 362",20521070
118,67bf9e83f414a80755bb6ba3,ESCOLA MUNICIPAL SOARES PEREIRA,RIO DE JANEIRO,TIJUCA,"AVENIDA MARACANÃ, 1450",20511001
119,67bf9e83f414a80755bb6ba4,COLÉGIO DOS SANTOS ANJOS,RIO DE JANEIRO,TIJUCA,RUA DEZOITO DE OUTUBRO 95,20530050
